step,operation_index,selected_group_id,selected_root_module,module_name,module_type,handler,is_out_channel_prune,index_count,indices,current_out_channels,projected_out_channels
143,4,DG006,model.13.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
143,5,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,21,,
143,6,DG006,model.13.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
143,7,DG006,model.13.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
143,8,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,21,,
143,9,DG006,model.13.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
143,10,DG006,model.13.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,21,,
143,11,DG006,model.13.m.0.cv1.conv,model.13.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,21,,
143,12,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,21,,
143,13,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,21,27,26
