epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,5327.62,0.97365,0.49228,0.00407,0.68682,0.66286,0.68269,0.49878,1.04554,0.72691,0.00518,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5385.25,0.96693,0.48149,0.00398,0.68088,0.66322,0.68229,0.49651,1.0478,0.73483,0.0052,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5442.67,0.96037,0.47383,0.0039,0.70798,0.64624,0.68102,0.49564,1.04903,0.73655,0.00521,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5500.14,0.9562,0.46816,0.00394,0.67968,0.66401,0.67486,0.49306,1.04923,0.74094,0.00522,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5557.47,0.94686,0.46668,0.00388,0.68171,0.66309,0.67702,0.49349,1.04951,0.73812,0.00522,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5615.58,0.9463,0.46579,0.00385,0.67241,0.67069,0.67732,0.49358,1.04907,0.73962,0.00522,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5675.01,0.9463,0.45658,0.00384,0.66373,0.66595,0.67563,0.49115,1.04989,0.74156,0.00522,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5733.57,0.94177,0.45235,0.00381,0.67347,0.66391,0.67563,0.49104,1.04966,0.74144,0.00523,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5791.04,0.94308,0.45716,0.0038,0.67542,0.66418,0.678,0.49281,1.04927,0.74081,0.00522,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5848.37,0.93476,0.44615,0.00377,0.67949,0.66588,0.6767,0.49259,1.04956,0.7423,0.00522,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
