step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
571,37,DG010,model.16.cv2.conv,3,4.23008918762207,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,38,DG016,model.19.cv2.conv,1,4.230334281921387,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,39,DG016,model.19.cv2.conv,29,4.254318714141846,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,40,DG010,model.16.cv2.conv,26,4.300411224365234,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,41,DG010,model.16.cv2.conv,22,4.319063186645508,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,42,DG016,model.19.cv2.conv,17,4.359996318817139,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,43,DG010,model.16.cv2.conv,47,4.3794684410095215,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,44,DG010,model.16.cv2.conv,38,4.391007423400879,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,45,DG016,model.19.cv2.conv,121,4.413146018981934,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,46,DG016,model.19.cv2.conv,38,4.418858528137207,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,47,DG010,model.16.cv2.conv,19,4.474786281585693,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,48,DG016,model.19.cv2.conv,80,4.526986122131348,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,49,DG010,model.16.cv2.conv,57,4.542296409606934,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,50,DG016,model.19.cv2.conv,114,4.552467346191406,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,51,DG016,model.19.cv2.conv,72,4.5709075927734375,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,52,DG016,model.19.cv2.conv,37,4.576030254364014,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,53,DG016,model.19.cv2.conv,93,4.59732723236084,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,54,DG010,model.16.cv2.conv,50,4.607605934143066,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,55,DG010,model.16.cv2.conv,48,4.6078572273254395,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,56,DG016,model.19.cv2.conv,109,4.612367630004883,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,57,DG016,model.19.cv2.conv,33,4.634061813354492,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,58,DG010,model.16.cv2.conv,36,4.655674457550049,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,59,DG010,model.16.cv2.conv,5,4.658441066741943,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,60,DG016,model.19.cv2.conv,124,4.658515930175781,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,61,DG010,model.16.cv2.conv,54,4.711697578430176,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,62,DG016,model.19.cv2.conv,24,4.722940444946289,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,63,DG010,model.16.cv2.conv,17,4.76203727722168,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,64,DG010,model.16.cv2.conv,25,4.8223185539245605,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,65,DG016,model.19.cv2.conv,42,4.840981483459473,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,66,DG016,model.19.cv2.conv,118,4.845660209655762,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,67,DG016,model.19.cv2.conv,87,4.849555015563965,128,64,would prune protected output root model.23.cv3.1.0.0.conv
571,68,DG010,model.16.cv2.conv,18,4.858777046203613,64,32,would prune protected output root model.23.cv3.0.0.0.conv
571,69,DG016,model.19.cv2.conv,79,4.891280174255371,128,64,would prune protected output root model.23.cv3.1.0.0.conv
