pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,"20,6,22,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_22_16_amt_0p20/yolo26n_l2_combo_20_6_22_16_amt_0p20.pt,val,4.728055,2376981,145869,6.136734,0.000852,0.001566,0.505780,0.688489,0.252451,0.981225,0.055147,1.288824,775.901408,"20,6,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,22,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_22_16_amt_0p20/yolo26n_l2_combo_6_22_16_amt_0p20.pt,val,4.727443,2376981,115917,4.876648,0.000852,0.001566,0.505780,0.688489,0.285021,0.971375,0.090766,1.347162,742.300964,"6,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6,13,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_13_16_amt_0p20/yolo26n_l2_combo_20_6_13_16_amt_0p20.pt,val,4.728055,2376981,76963,3.237847,0.000624,0.002515,0.506009,0.687540,0.253538,0.979803,0.053818,1.287159,776.904804,"20,6,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,13,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_13_16_amt_0p20/yolo26n_l2_combo_6_13_16_amt_0p20.pt,val,4.727443,2376981,47011,1.977761,0.000183,0.000455,0.506450,0.689601,0.274104,0.975767,0.061278,1.311148,762.690120,"6,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,13,22,16",6,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_13_22_16_amt_0p20/yolo26n_l2_combo_20_10_6_13_22_16_amt_0p20.pt,val,4.730317,2376981,218743,9.202556,0.000000,0.000000,0.506632,0.690055,0.299235,0.986199,0.047565,1.332999,750.188141,"20,10,6,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,13,22,16",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_13_22_16_amt_0p20/yolo26n_l2_combo_10_6_13_22_16_amt_0p20.pt,val,4.729583,2376981,188791,7.942470,0.000000,0.000000,0.506632,0.690055,0.309905,0.988630,0.057225,1.355759,737.593997,"10,6,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6,13,22,16",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_13_22_16_amt_0p20/yolo26n_l2_combo_20_6_13_22_16_amt_0p20.pt,val,4.729522,2376981,169357,7.124878,0.000000,0.000000,0.506632,0.690055,0.330153,0.989504,0.043460,1.363117,733.612892,"20,6,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,13,22,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_13_22_16_amt_0p20/yolo26n_l2_combo_6_13_22_16_amt_0p20.pt,val,4.728055,2376981,139405,5.864792,0.000000,0.000000,0.506632,0.690055,0.302756,0.978152,0.041807,1.322715,756.020677,"6,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,13,16",5,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_13_16_amt_0p20/yolo26n_l2_combo_20_10_6_13_16_amt_0p20.pt,val,4.729522,2376981,126349,5.315524,0.000000,0.000000,0.506632,0.690055,0.286671,0.998890,0.058481,1.344042,744.024483,"20,10,6,13,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,13,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_13_16_amt_0p20/yolo26n_l2_combo_10_6_13_16_amt_0p20.pt,val,4.728055,2376981,96397,4.055438,0.000000,0.000000,0.506632,0.690055,0.301296,0.988638,0.061003,1.350936,740.227549,"10,6,13,16",0.2,mask-based structured pruning; architecture shape unchanged
