pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p10/yolo26n_l1_layer_4_amt_0p10.pt,val,4.726157,2376981,2564,0.107868,0.506123,0.690606,0.000510,-0.000551,0.267686,0.998492,0.069767,1.335946,748.533408,4,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p20/yolo26n_l1_layer_4_amt_0p20.pt,val,4.726157,2376981,5124,0.215568,0.502823,0.685904,0.003810,0.004152,0.264470,0.972979,0.050230,1.287678,776.591423,4,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,4,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p30/yolo26n_l1_layer_4_amt_0p30.pt,val,4.726157,2376981,7682,0.323183,0.488375,0.675047,0.018257,0.015008,0.294354,1.003324,0.094851,1.392529,718.117814,4,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,4,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p40/yolo26n_l1_layer_4_amt_0p40.pt,val,4.726157,2376981,10242,0.430883,0.469459,0.652977,0.037173,0.037078,0.260976,0.981597,0.102150,1.344723,743.647676,4,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,4,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_4_amt_0p50/yolo26n_l1_layer_4_amt_0p50.pt,val,4.726157,2376981,12803,0.538624,0.399988,0.556431,0.106644,0.133624,0.268794,0.998189,0.079290,1.346273,742.791235,4,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,5,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p05/yolo26n_l1_layer_5_amt_0p05.pt,val,4.726157,2376981,7376,0.310310,0.506683,0.689851,-0.000050,0.000204,0.276687,0.984166,0.074710,1.335562,748.748304,5,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p10/yolo26n_l1_layer_5_amt_0p10.pt,val,4.726157,2376981,14749,0.620493,0.506398,0.689012,0.000234,0.001043,0.253707,0.988671,0.069273,1.311650,762.398562,5,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,5,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p20/yolo26n_l1_layer_5_amt_0p20.pt,val,4.726157,2376981,29494,1.240818,0.508301,0.690640,-0.001669,-0.000585,0.262244,0.984141,0.072293,1.318679,758.334888,5,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,5,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p30/yolo26n_l1_layer_5_amt_0p30.pt,val,4.726157,2376981,44240,1.861184,0.507829,0.689622,-0.001197,0.000434,0.252257,0.995489,0.069555,1.317301,759.127916,5,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,5,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_5_amt_0p40/yolo26n_l1_layer_5_amt_0p40.pt,val,4.726157,2376981,58985,2.481509,0.506720,0.688640,-0.000088,0.001415,0.241144,0.984144,0.076993,1.302281,767.883465,5,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
